2019-04-24 22:47:41.634 00020 OnArenaStrategyImpl: 策略执行完毕!
2019-04-24 22:47:44.635 00020 Controller!: 进入循环
2019-04-24 22:47:44.757 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:47:44.758 00020 OnArenaStrategyImpl: masterCaidan:-13609639;petCaidan:-11176499
2019-04-24 22:47:47.758 00020 Controller!: 进入循环
2019-04-24 22:47:47.881 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:47:47.881 00020 OnArenaStrategyImpl: masterCaidan:-13609639;petCaidan:-10517789
2019-04-24 22:47:50.882 00020 Controller!: 进入循环
2019-04-24 22:47:51.009 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:47:51.009 00020 OnArenaStrategyImpl: masterCaidan:-13609639;petCaidan:-12362337
2019-04-24 22:47:54.010 00020 Controller!: 进入循环
2019-04-24 22:47:54.138 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:47:54.139 00020 OnArenaStrategyImpl: masterCaidan:-13609639;petCaidan:-12362337
2019-04-24 22:47:57.139 00020 Controller!: 进入循环
2019-04-24 22:47:57.269 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:47:57.269 00020 OnArenaStrategyImpl: masterCaidan:-13609639;petCaidan:-14196387
2019-04-24 22:48:00.269 00020 Controller!: 进入循环
2019-04-24 22:48:00.398 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:48:00.398 00020 OnArenaStrategyImpl: masterCaidan:-13609639;petCaidan:-6308415
2019-04-26 06:23:12.424 00001 PointCollection: 获取到角色血条:Point{x=628, y=205}
2019-04-26 06:23:12.434 00001 PointCollection: 抓取到boss坐标
2019-04-26 06:23:44.557 00001 PointCollection: 获取到角色血条失败:Point{x=-1, y=-1}
2019-04-26 06:23:54.017 00001 PointCollection: 获取到角色血条:Point{x=628, y=205}
2019-04-26 06:23:54.027 00001 PointCollection: 抓取到boss坐标
2019-04-26 06:24:17.778 00001 PointCollection: 获取到角色血条:Point{x=628, y=205}
2019-04-26 06:24:17.785 00001 PointCollection: 抓取到boss坐标
2019-04-26 06:24:26.359 00001 PointCollection: 获取到角色血条:Point{x=628, y=205}
2019-04-26 06:24:26.366 00001 PointCollection: 抓取到boss坐标
2019-04-26 06:24:35.810 00001 PointCollection: 获取到角色血条:Point{x=628, y=205}
2019-04-26 06:24:35.817 00001 PointCollection: 抓取到boss坐标
2019-04-26 06:24:44.779 00001 PointCollection: 获取到角色血条:Point{x=628, y=205}
2019-04-26 06:24:44.788 00001 PointCollection: 抓取到boss坐标
2019-04-26 06:24:51.614 00001 PointCollection: 获取到角色血条:Point{x=628, y=205}
2019-04-26 06:24:51.623 00001 PointCollection: 抓取到boss坐标
2019-04-26 06:25:03.349 00001 PointCollection: 获取到角色血条:Point{x=628, y=205}
2019-04-26 06:25:03.356 00001 PointCollection: 抓取到boss坐标
2019-04-26 06:25:10.887 00001 PointCollection: 获取到角色血条:Point{x=628, y=205}
2019-04-26 06:25:10.894 00001 PointCollection: 抓取到boss坐标
2019-04-26 06:25:30.494 00001 PointCollection: 获取到角色血条:Point{x=628, y=205}
2019-04-26 06:25:30.501 00001 PointCollection: 抓取到boss坐标
2019-04-26 06:26:18.300 00001 PointCollection: 获取到角色血条失败:Point{x=-1, y=-1}
2019-04-26 06:26:30.412 00001 PointCollection: 获取到角色血条:Point{x=694, y=164}
2019-04-26 06:26:30.420 00001 PointCollection: 抓取到boss坐标
2019-04-26 06:26:41.114 00001 PointCollection: 获取到角色血条:Point{x=694, y=164}
2019-04-26 06:26:41.120 00001 PointCollection: 抓取到boss坐标
2019-04-26 06:27:00.518 00001 PointCollection: 获取到角色血条:Point{x=694, y=164}
2019-04-26 06:27:00.527 00001 PointCollection: 抓取到boss坐标
2019-04-26 06:27:13.921 00001 PointCollection: 获取到角色血条:Point{x=694, y=164}
2019-04-26 06:27:13.928 00001 PointCollection: 抓取到boss坐标
2019-04-26 06:27:22.438 00001 PointCollection: 获取到角色血条:Point{x=694, y=164}
2019-04-26 06:27:22.447 00001 PointCollection: 抓取到boss坐标
2019-04-26 06:27:35.324 00001 PointCollection: 获取到角色血条:Point{x=694, y=164}
2019-04-26 06:27:35.331 00001 PointCollection: 抓取到boss坐标
2019-04-26 06:27:42.645 00001 PointCollection: 获取到角色血条:Point{x=694, y=164}
2019-04-26 06:27:42.653 00001 PointCollection: 抓取到boss坐标
2019-04-26 06:27:49.064 00001 PointCollection: 获取到角色血条:Point{x=694, y=164}
2019-04-26 06:27:49.071 00001 PointCollection: 抓取到boss坐标
2019-04-26 06:32:21.320 00001 PointCollection: 获取到角色血条:Point{x=587, y=151}
2019-04-26 06:32:21.327 00001 PointCollection: 抓取到boss坐标
2019-04-26 06:32:39.084 00001 PointCollection: 获取到角色血条:Point{x=587, y=151}
2019-04-26 06:32:39.091 00001 PointCollection: 抓取到boss坐标
2019-04-26 06:32:48.459 00001 PointCollection: 获取到角色血条:Point{x=587, y=151}
2019-04-26 06:32:48.465 00001 PointCollection: 抓取到boss坐标
2019-04-26 06:46:56.303 00001 PointCollection: 获取到角色血条失败:Point{x=-1, y=-1}
2019-04-26 06:47:18.803 00001 Controller!: Controller.ready start!
2019-04-26 06:47:18.814 00001 Controller!: Controller.ready end!
2019-04-26 15:06:03.330 00001 PointCollection: 获取到角色血条:Point{x=848, y=121}
2019-04-26 15:06:03.341 00001 PointCollection: 抓取到boss坐标
2019-04-26 15:06:22.317 00001 PointCollection: 获取到角色血条:Point{x=848, y=121}
2019-04-26 15:06:22.324 00001 PointCollection: 抓取到boss坐标
2019-04-26 15:06:31.492 00001 PointCollection: 获取到角色血条:Point{x=848, y=121}
2019-04-26 15:06:31.499 00001 PointCollection: 抓取到boss坐标
2019-04-26 15:06:40.917 00001 PointCollection: 获取到角色血条:Point{x=848, y=121}
2019-04-26 15:06:40.925 00001 PointCollection: 抓取到boss坐标
2019-04-26 15:13:26.651 00001 PointCollection: 获取到角色血条:Point{x=848, y=121}
2019-04-26 15:13:26.658 00001 PointCollection: 抓取到boss坐标
2019-04-26 15:21:11.599 00001 PointCollection: 获取到角色血条失败:Point{x=-1, y=-1}
2019-04-26 15:21:38.181 00001 Controller!: Controller.ready start!
2019-04-26 15:21:38.191 00001 Controller!: Controller.ready end!
2019-04-26 15:22:18.509 00001 Controller!: Controller.ready start!
